,gnd,record_number
0,gnd/12391132X,33
1,gnd/12391132X,1835
2,gnd/12391132X,8096
3,gnd/12391132X,13188
4,gnd/12391132X,21891
5,gnd/12391132X,26787
6,gnd/12391132X,114673
7,gnd/12391132X,136668
8,gnd/12391132X,169607
9,gnd/12391132X,180529
10,gnd/12391132X,180542
11,gnd/12391132X,202107
12,gnd/12391132X,202139
13,gnd/12391132X,202394
14,gnd/12391132X,202961
15,gnd/12391132X,213093
16,gnd/12391132X,213333
17,gnd/12391132X,213960
18,gnd/12391132X,213971
19,gnd/12391132X,213974
20,gnd/12391132X,224116
21,gnd/12391132X,224129
22,gnd/12391132X,224285
23,gnd/12391132X,224287
24,gnd/12391132X,224385
25,gnd/12391132X,224419
26,gnd/12391132X,224887
27,gnd/12391132X,225159
28,gnd/12391132X,225180
29,gnd/12391132X,225657
30,gnd/12391132X,225699
31,gnd/12391132X,225992
32,gnd/12391132X,233616
33,gnd/12391132X,234483
34,gnd/12391132X,234795
35,gnd/12391132X,234873
36,gnd/12391132X,235085
37,gnd/12391132X,235273
38,gnd/12391132X,235603
39,gnd/12391132X,235800
40,gnd/12391132X,236095
41,gnd/12391132X,236109
42,gnd/12391132X,236123
43,gnd/12391132X,236217
44,gnd/12391132X,236312
45,gnd/12391132X,236417
46,gnd/12391132X,236418
47,gnd/12391132X,236456
48,gnd/12391132X,236827
49,gnd/12391132X,236975
50,gnd/12391132X,237253
51,gnd/12391132X,237749
52,gnd/12391132X,238142
53,gnd/12391132X,238631
54,gnd/12391132X,238896
55,gnd/12391132X,239067
56,gnd/12391132X,239147
57,gnd/12391132X,239345
58,gnd/12391132X,239676
59,gnd/12391132X,239692
60,gnd/12391132X,239693
61,gnd/12391132X,239789
62,gnd/12391132X,239920
63,gnd/12391132X,239979
64,gnd/12391132X,240008
65,gnd/12391132X,240052
66,gnd/12391132X,240072
67,gnd/12391132X,240630
68,gnd/12391132X,240791
69,gnd/12391132X,240999
70,gnd/12391132X,241301
71,gnd/12391132X,241409
72,gnd/12391132X,241557
73,gnd/12391132X,241753
74,gnd/12391132X,242109
75,gnd/12391132X,242185
76,gnd/12391132X,242692
77,gnd/12391132X,242935
78,gnd/12391132X,243011
79,gnd/12391132X,243050
80,gnd/12391132X,243051
81,gnd/12391132X,243362
82,gnd/12391132X,243364
83,gnd/12391132X,243365
84,gnd/12391132X,243376
85,gnd/12391132X,243377
86,gnd/12391132X,243378
87,gnd/12391132X,244762
88,gnd/12391132X,244776
89,gnd/12391132X,244777
90,gnd/12391132X,245019
91,gnd/12391132X,245023
92,gnd/12391132X,245771
93,gnd/12391132X,246233
94,gnd/12391132X,247326
95,gnd/12391132X,247400
96,gnd/12391132X,247806
97,gnd/12391132X,247815
98,gnd/12391132X,248139
99,gnd/12391132X,248148
100,gnd/12391132X,248149
101,gnd/12391132X,248150
102,gnd/12391132X,248384
103,gnd/12391132X,248387
104,gnd/12391132X,248538
105,gnd/12391132X,248539
106,gnd/12391132X,248540
107,gnd/12391132X,248541
108,gnd/12391132X,248551
109,gnd/12391132X,248732
110,gnd/12391132X,249249
111,gnd/12391132X,249531
112,gnd/12391132X,249644
113,gnd/12391132X,249645
114,gnd/12391132X,250942
115,gnd/12391132X,251077
116,gnd/12391132X,251095
117,gnd/12391132X,251098
118,gnd/12391132X,251112
119,gnd/12391132X,251254
120,gnd/12391132X,251273
121,gnd/12391132X,251326
122,gnd/12391132X,251384
123,gnd/12391132X,251732
124,gnd/12391132X,251827
125,gnd/12391132X,252166
126,gnd/12391132X,252184
127,gnd/12391132X,252556
128,gnd/12391132X,252557
129,gnd/12391132X,252665
130,gnd/12391132X,252728
131,gnd/12391132X,252781
132,gnd/12391132X,252849
133,gnd/12391132X,252911
134,gnd/12391132X,253202
135,gnd/12391132X,253203
136,gnd/12391132X,253579
137,gnd/12391132X,254385
138,gnd/12391132X,254386
139,gnd/12391132X,254388
140,gnd/12391132X,254431
141,gnd/12391132X,254479
142,gnd/12391132X,254511
143,gnd/12391132X,255524
144,gnd/12391132X,255615
145,gnd/12391132X,255772
146,gnd/12391132X,255940
147,gnd/12391132X,256059
148,gnd/12391132X,256061
149,gnd/12391132X,256220
150,gnd/12391132X,256337
151,gnd/12391132X,256352
152,gnd/12391132X,256353
153,gnd/12391132X,256354
154,gnd/12391132X,256355
155,gnd/12391132X,256356
156,gnd/12391132X,256358
157,gnd/12391132X,256360
158,gnd/12391132X,256361
159,gnd/12391132X,256364
160,gnd/12391132X,256554
161,gnd/12391132X,256604
162,gnd/12391132X,256671
163,gnd/12391132X,256737
164,gnd/12391132X,256739
165,gnd/12391132X,256740
166,gnd/12391132X,257468
167,gnd/12391132X,257531
168,gnd/12391132X,257657
169,gnd/12391132X,257658
170,gnd/12391132X,257967
171,gnd/12391132X,258504
172,gnd/12391132X,258615
173,gnd/12391132X,258627
174,gnd/12391132X,258844
175,gnd/12391132X,259011
176,gnd/12391132X,259638
177,gnd/12391132X,259642
178,gnd/12391132X,259726
179,gnd/12391132X,259805
180,gnd/12391132X,259999
181,gnd/12391132X,260128
182,gnd/12391132X,260332
183,gnd/12391132X,260333
184,gnd/12391132X,260334
185,gnd/12391132X,260442
186,gnd/12391132X,260550
187,gnd/12391132X,261567
188,gnd/12391132X,261579
189,gnd/12391132X,262142
190,gnd/12391132X,262207
191,gnd/12391132X,262419
192,gnd/12391132X,262682
193,gnd/12391132X,262712
194,gnd/12391132X,262716
195,gnd/12391132X,262820
196,gnd/12391132X,262851
197,gnd/12391132X,262974
198,gnd/12391132X,263268
199,gnd/12391132X,263276
200,gnd/12391132X,263277
201,gnd/12391132X,263281
202,gnd/12391132X,263284
203,gnd/12391132X,263288
204,gnd/12391132X,263290
205,gnd/12391132X,263377
206,gnd/12391132X,263385
207,gnd/12391132X,263656
208,gnd/12391132X,263667
209,gnd/12391132X,264071
210,gnd/12391132X,264079
211,gnd/12391132X,264080
212,gnd/12391132X,264081
213,gnd/12391132X,264082
214,gnd/12391132X,264083
215,gnd/12391132X,264084
216,gnd/12391132X,264085
217,gnd/12391132X,264478
218,gnd/12391132X,264481
219,gnd/12391132X,264724
220,gnd/12391132X,264725
221,gnd/12391132X,264744
222,gnd/12391132X,266692
223,gnd/12391132X,266918
224,gnd/12391132X,267018
225,gnd/12391132X,267305
226,gnd/12391132X,267614
227,gnd/12391132X,268145
228,gnd/12391132X,268147
229,gnd/12391132X,268446
230,gnd/12391132X,268502
231,gnd/12391132X,268551
232,gnd/12391132X,268932
233,gnd/12391132X,269545
234,gnd/12391132X,271208
235,gnd/12391132X,271453
236,gnd/12391132X,271458
237,gnd/12391132X,271899
238,gnd/12391132X,272030
239,gnd/12391132X,272710
240,gnd/12391132X,273828
241,gnd/12391132X,273852
242,gnd/12391132X,274014
243,gnd/12391132X,274220
244,gnd/12391132X,274337
245,gnd/12391132X,274338
246,gnd/12391132X,274514
247,gnd/12391132X,274546
248,gnd/12391132X,274605
249,gnd/12391132X,274606
250,gnd/12391132X,274607
251,gnd/12391132X,274634
252,gnd/12391132X,274794
253,gnd/12391132X,274905
254,gnd/12391132X,274973
255,gnd/12391132X,275026
256,gnd/12391132X,275030
257,gnd/12391132X,275075
258,gnd/12391132X,275092
259,gnd/12391132X,275138
260,gnd/12391132X,275148
261,gnd/12391132X,275229
262,gnd/12391132X,275241
263,gnd/12391132X,275254
264,gnd/12391132X,275544
265,gnd/12391132X,275557
266,gnd/12391132X,275611
267,gnd/12391132X,275612
268,gnd/12391132X,275669
269,gnd/12391132X,275672
270,gnd/12391132X,275678
271,gnd/12391132X,275858
272,gnd/12391132X,275964
273,gnd/12391132X,275967
274,gnd/12391132X,276242
275,gnd/12391132X,277203
276,gnd/12391132X,277676
277,gnd/12391132X,277720
278,gnd/12391132X,277906
279,gnd/12391132X,278325
280,gnd/12391132X,278677
281,gnd/12391132X,279350
282,gnd/12391132X,279423
283,gnd/12391132X,279819
284,gnd/12391132X,279869
285,gnd/12391132X,279880
286,gnd/12391132X,279968
287,gnd/12391132X,280164
288,gnd/12391132X,280199
289,gnd/12391132X,280206
290,gnd/12391132X,280207
291,gnd/12391132X,280208
292,gnd/12391132X,280209
293,gnd/12391132X,280297
294,gnd/12391132X,280322
295,gnd/12391132X,280333
296,gnd/12391132X,280422
297,gnd/12391132X,280557
298,gnd/12391132X,280918
299,gnd/12391132X,281484
300,gnd/12391132X,281545
301,gnd/12391132X,282171
302,gnd/12391132X,282531
303,gnd/12391132X,282846
304,gnd/12391132X,282854
305,gnd/12391132X,283067
306,gnd/12391132X,283098
307,gnd/12391132X,283100
308,gnd/12391132X,283595
309,gnd/12391132X,283608
310,gnd/12391132X,283640
311,gnd/12391132X,284058
312,gnd/12391132X,284605
313,gnd/12391132X,284620
314,gnd/12391132X,284621
315,gnd/12391132X,284630
316,gnd/12391132X,284682
317,gnd/12391132X,284809
318,gnd/12391132X,284878
319,gnd/12391132X,284879
320,gnd/12391132X,284884
321,gnd/12391132X,284885
322,gnd/12391132X,284886
323,gnd/12391132X,284887
324,gnd/12391132X,284888
325,gnd/12391132X,284890
326,gnd/12391132X,285005
327,gnd/12391132X,285008
328,gnd/12391132X,285127
329,gnd/12391132X,285129
330,gnd/12391132X,285548
331,gnd/12391132X,285564
332,gnd/12391132X,285604
333,gnd/12391132X,286287
334,gnd/12391132X,286298
335,gnd/12391132X,286332
336,gnd/12391132X,286973
337,gnd/12391132X,287425
338,gnd/12391132X,287430
339,gnd/12391132X,287612
340,gnd/12391132X,287637
341,gnd/12391132X,288942
342,gnd/12391132X,289466
343,gnd/12391132X,289538
344,gnd/12391132X,289539
345,gnd/12391132X,289540
346,gnd/12391132X,289541
347,gnd/12391132X,290005
348,gnd/12391132X,290011
349,gnd/12391132X,290893
350,gnd/12391132X,291676
351,gnd/12391132X,291788
352,gnd/12391132X,292308
353,gnd/12391132X,292471
354,gnd/12391132X,292843
355,gnd/12391132X,293169
356,gnd/12391132X,293375
357,gnd/12391132X,293379
358,gnd/12391132X,293381
359,gnd/12391132X,293438
360,gnd/12391132X,293510
361,gnd/12391132X,293553
362,gnd/12391132X,293683
363,gnd/12391132X,293815
364,gnd/12391132X,293821
365,gnd/12391132X,293872
366,gnd/12391132X,293960
367,gnd/12391132X,294006
368,gnd/12391132X,294189
369,gnd/12391132X,294190
370,gnd/12391132X,297525
371,gnd/12391132X,297674
372,gnd/12391132X,298104
373,gnd/12391132X,298564
374,gnd/12391132X,302683
375,gnd/12391132X,306492
376,gnd/12391132X,306781
377,gnd/11951124X,11804
378,gnd/11951124X,32613
379,gnd/11951124X,32896
380,gnd/11951124X,34044
381,gnd/11951124X,34045
382,gnd/11951124X,53639
383,gnd/11951124X,54648
384,gnd/11951124X,62152
385,gnd/11951124X,78870
386,gnd/11951124X,125539
387,gnd/11951124X,136166
388,gnd/11951124X,158126
389,gnd/11951124X,248338
390,gnd/11951124X,248740
391,gnd/11951124X,249441
392,gnd/11951124X,249443
393,gnd/11951124X,249444
394,gnd/11951124X,263389
395,gnd/11951124X,264376
396,gnd/11951124X,264377
397,gnd/11951124X,276226
398,gnd/11883732X,53509
399,gnd/11883732X,75517
400,gnd/11883732X,269989
401,gnd/11883732X,274838
402,gnd/11883732X,283770
403,gnd/11883732X,292582
404,gnd/11883732X,292583
405,gnd/11883732X,296271
406,gnd/11883732X,298353
407,gnd/11872889X,84048
408,gnd/11872889X,124459
409,gnd/11872889X,129452
410,gnd/11858412X,121661
411,gnd/11858412X,140888
412,gnd/11858412X,160935
413,gnd/11858412X,172391
414,gnd/11858412X,189786
415,gnd/11858412X,240943
416,gnd/11853596X,8961
417,gnd/11853596X,9020
418,gnd/11853596X,10175
419,gnd/11853596X,34633
420,gnd/11853596X,41561
421,gnd/11853596X,41657
422,gnd/11853596X,52883
423,gnd/11853596X,66663
424,gnd/11853596X,66672
425,gnd/11853596X,68887
426,gnd/11853596X,71822
427,gnd/11853596X,74921
428,gnd/11853596X,76297
429,gnd/11853596X,76806
430,gnd/11853596X,76807
431,gnd/11853596X,77752
432,gnd/11853596X,78375
433,gnd/11853596X,92988
434,gnd/11853596X,105053
435,gnd/11853596X,106761
436,gnd/11853596X,266807
437,gnd/11853596X,278829
438,gnd/11853596X,281011
439,gnd/11853596X,281013
440,gnd/11853596X,285107
441,gnd/11853596X,285335
442,gnd/11853596X,285338
443,gnd/11853596X,286873
444,gnd/11853596X,287130
445,gnd/11853596X,289656
446,gnd/11853596X,290183
447,gnd/11853596X,290215
448,gnd/11853596X,297909
449,gnd/11853596X,303866
450,gnd/11853596X,308438
451,gnd/11853095X,61044
452,gnd/11853095X,85211
453,gnd/11715010X,246270
454,gnd/11715010X,246271
455,gnd/11671655X,5526
456,gnd/11671655X,62141
457,gnd/10313669X,29889
458,gnd/10230887X,71005
459,gnd/10230887X,71010
460,gnd/10230887X,71934
461,gnd/10230887X,72251
462,gnd/10230887X,72256
463,gnd/10230887X,74970
464,gnd/10230887X,74971
465,gnd/10230887X,78837
466,gnd/10230887X,82085
467,gnd/10230887X,82086
468,gnd/10230887X,82626
469,gnd/10230887X,82632
470,gnd/10230887X,82672
471,gnd/10230887X,83293
472,gnd/10230887X,301313
473,gnd/10230887X,303781
474,gnd/10142552X,141400
475,gnd/10142552X,143060
476,gnd/10142552X,143351
477,gnd/1034668358,35426
478,gnd/1019738634,5519
479,gnd/1019738634,113133
480,gnd/1014349664,56556
481,gnd/1014349664,56864
482,gnd/1014349664,56865
483,gnd/1014349664,64525
484,gnd/1014349664,82145
485,gnd/1014349664,87127
486,gnd/1014349664,97504
487,gnd/1014349664,98663
488,gnd/1014349664,99810
489,gnd/1014349664,111747
490,gnd/1014349664,124458
491,gnd/1014349664,135231
492,gnd/1014349664,148115
493,gnd/1014349664,181825
494,gnd/1014349664,201619
495,gnd/1014349664,233367
496,gnd/1014062136,140992
497,gnd/189408685,115829
498,gnd/136198368,89430
499,gnd/132701855,128304
500,gnd/132701855,151570
501,gnd/132701855,198174
502,gnd/132701855,198203
503,gnd/131545167,145402
504,gnd/129300454,103640
505,gnd/129300454,105069
506,gnd/128866799,63864
507,gnd/128866799,66395
508,gnd/128742658,7523
509,gnd/128735872,41224
510,gnd/128735872,41225
511,gnd/128735872,41226
512,gnd/128735872,61132
513,gnd/128735872,61357
514,gnd/128735872,66951
515,gnd/128735872,85426
516,gnd/128735872,88136
517,gnd/128735872,88280
518,gnd/128735872,90915
519,gnd/128735872,90916
520,gnd/128735872,92084
521,gnd/128735872,93573
522,gnd/128735872,93633
523,gnd/128735872,101826
524,gnd/128735872,103680
525,gnd/128722266,42533
526,gnd/128722266,46298
527,gnd/128722266,54616
528,gnd/128722266,108153
529,gnd/128722266,108259
530,gnd/128722266,110891
531,gnd/128722266,110971
532,gnd/128722266,148411
533,gnd/124974716,124769
534,gnd/124974716,127037
535,gnd/124974716,127708
536,gnd/124974716,127709
537,gnd/124974716,127767
538,gnd/124974716,128347
539,gnd/124974716,129568
540,gnd/124845800,43047
541,gnd/124845800,66261
542,gnd/124845800,82285
543,gnd/124845800,93657
544,gnd/124845800,97474
545,gnd/124845800,99516
546,gnd/124845800,101358
547,gnd/124775802,46022
548,gnd/124775802,46422
549,gnd/124775802,46714
550,gnd/124775802,46730
551,gnd/124775802,65925
552,gnd/124775802,66534
553,gnd/124724612,68531
554,gnd/124699170,27931
555,gnd/124699170,31674
556,gnd/124699170,40222
557,gnd/124699170,286143
558,gnd/124699170,303743
559,gnd/124699170,305369
560,gnd/124657273,95644
561,gnd/124374794,306729
562,gnd/123887240,22738
563,gnd/123887240,64874
564,gnd/123887240,66168
565,gnd/123887240,88012
566,gnd/123715512,74362
567,gnd/123388147,14170
568,gnd/123388147,91839
569,gnd/123335558,9880
570,gnd/123335558,72456
571,gnd/123335558,73116
572,gnd/123335558,73450
573,gnd/123335558,74141
574,gnd/123335558,75354
575,gnd/123335558,75512
576,gnd/123335558,76574
577,gnd/123335558,76584
578,gnd/123066972,87360
579,gnd/122903757,70289
580,gnd/122903757,101032
581,gnd/122811364,134695
582,gnd/122800664,135747
583,gnd/122800664,146827
584,gnd/122687981,142954
585,gnd/122420217,222840
586,gnd/122371100,51273
587,gnd/122371100,68241
588,gnd/122371100,101653
589,gnd/122371100,101853
590,gnd/122371100,105194
591,gnd/122371100,114376
592,gnd/122371100,116860
593,gnd/122371100,119802
594,gnd/122371100,120471
595,gnd/122371100,120472
596,gnd/122371100,123931
597,gnd/122371100,124446
598,gnd/122371100,126761
599,gnd/122371100,127278
600,gnd/122371100,203059
601,gnd/122371100,295968
602,gnd/122371100,304896
603,gnd/121778029,111472
604,gnd/121715183,255993
605,gnd/121547906,121867
606,gnd/121510913,182044
607,gnd/121510913,214696
608,gnd/121510913,214698
609,gnd/121510913,214772
610,gnd/121510913,214773
611,gnd/121510913,214775
612,gnd/121510913,217339
613,gnd/121510913,217340
614,gnd/121510913,217341
615,gnd/121510913,219620
616,gnd/121510913,222020
617,gnd/121510913,229165
618,gnd/121400719,168116
619,gnd/121302679,10978
620,gnd/121302679,13000
621,gnd/121302679,34575
622,gnd/120777193,39479
623,gnd/120777193,95502
624,gnd/120777193,96144
625,gnd/120777193,96145
626,gnd/120777193,96415
627,gnd/120777193,96418
628,gnd/120777193,96419
629,gnd/120777193,97754
630,gnd/120777193,97755
631,gnd/120777193,97756
632,gnd/120777193,97757
633,gnd/120777193,97811
634,gnd/120777193,97967
635,gnd/120777193,98339
636,gnd/120777193,98498
637,gnd/120777193,98499
638,gnd/120777193,98500
639,gnd/120777193,98501
640,gnd/120777193,98503
641,gnd/120777193,98504
642,gnd/120777193,98505
643,gnd/120777193,98509
644,gnd/120777193,98513
645,gnd/120777193,98514
646,gnd/120777193,98522
647,gnd/120777193,98552
648,gnd/120777193,98557
649,gnd/120777193,98947
650,gnd/120777193,98948
651,gnd/120777193,98949
652,gnd/120777193,99034
653,gnd/120777193,99170
654,gnd/120777193,99492
655,gnd/120777193,99882
656,gnd/120777193,100988
657,gnd/120777193,100989
658,gnd/120777193,100990
659,gnd/120777193,100991
660,gnd/120777193,100992
661,gnd/120777193,100993
662,gnd/120777193,100994
663,gnd/120777193,100997
664,gnd/120777193,100998
665,gnd/120777193,100999
666,gnd/120777193,101000
667,gnd/120777193,101001
668,gnd/120777193,101002
669,gnd/120777193,101003
670,gnd/120777193,101004
671,gnd/120777193,101005
672,gnd/120777193,101006
673,gnd/120777193,101007
674,gnd/120777193,101008
675,gnd/120777193,101010
676,gnd/120777193,101011
677,gnd/120777193,101012
678,gnd/120777193,101013
679,gnd/120777193,101014
680,gnd/120777193,101015
681,gnd/120777193,101016
682,gnd/120777193,101017
683,gnd/120777193,101018
684,gnd/120777193,101019
685,gnd/120777193,101020
686,gnd/120777193,101021
687,gnd/120777193,101022
688,gnd/120777193,101025
689,gnd/120777193,101191
690,gnd/120777193,101193
691,gnd/120777193,101498
692,gnd/120777193,101917
693,gnd/120777193,103039
694,gnd/120777193,103892
695,gnd/120777193,104372
696,gnd/120777193,104373
697,gnd/120777193,104374
698,gnd/120777193,104375
699,gnd/120777193,104376
700,gnd/120777193,104377
701,gnd/120777193,104378
702,gnd/120777193,104379
703,gnd/120777193,104380
704,gnd/120777193,104381
705,gnd/120777193,104382
706,gnd/120777193,104383
707,gnd/120777193,104384
708,gnd/120777193,104385
709,gnd/120777193,104386
710,gnd/120777193,104387
711,gnd/120777193,104388
712,gnd/120777193,104389
713,gnd/120777193,104390
714,gnd/120777193,104391
715,gnd/120777193,104392
716,gnd/120777193,104393
717,gnd/120777193,104394
718,gnd/120777193,104395
719,gnd/120777193,104396
720,gnd/120777193,104397
721,gnd/120777193,104398
722,gnd/120777193,104399
723,gnd/120777193,104400
724,gnd/120777193,104401
725,gnd/120777193,104402
726,gnd/120777193,104403
727,gnd/120777193,104404
728,gnd/120777193,104405
729,gnd/120777193,104409
730,gnd/120777193,105197
731,gnd/120777193,105200
732,gnd/120777193,105204
733,gnd/120777193,105205
734,gnd/120777193,106431
735,gnd/120777193,106461
736,gnd/120777193,106622
737,gnd/120777193,106624
738,gnd/120777193,106625
739,gnd/120777193,106626
740,gnd/120777193,106627
741,gnd/120777193,106628
742,gnd/120777193,107052
743,gnd/120777193,107395
744,gnd/120777193,107397
745,gnd/120777193,107398
746,gnd/120777193,107399
747,gnd/120777193,107400
748,gnd/120777193,107401
749,gnd/120777193,107402
750,gnd/120777193,107551
751,gnd/120777193,107728
752,gnd/120777193,108070
753,gnd/120777193,108178
754,gnd/120777193,108419
755,gnd/120777193,108545
756,gnd/120777193,108688
757,gnd/120777193,108707
758,gnd/120777193,108721
759,gnd/120777193,108881
760,gnd/120777193,108883
761,gnd/120777193,108886
762,gnd/120777193,108966
763,gnd/120777193,108968
764,gnd/120777193,109214
765,gnd/120777193,109306
766,gnd/120777193,109574
767,gnd/120777193,109575
768,gnd/120777193,109678
769,gnd/120777193,110311
770,gnd/120777193,111010
771,gnd/120777193,111011
772,gnd/120777193,111012
773,gnd/120777193,111013
774,gnd/120777193,111014
775,gnd/120777193,111015
776,gnd/120777193,111016
777,gnd/120777193,111017
778,gnd/120777193,111018
779,gnd/120777193,111019
780,gnd/120777193,111020
781,gnd/120777193,111021
782,gnd/120777193,111022
783,gnd/120777193,111023
784,gnd/120777193,111070
785,gnd/120777193,111125
786,gnd/120777193,111126
787,gnd/120777193,111127
788,gnd/120777193,111622
789,gnd/120777193,115054
790,gnd/120777193,115055
791,gnd/120777193,115056
792,gnd/120777193,115057
793,gnd/120777193,115323
794,gnd/120777193,115324
795,gnd/120777193,115326
796,gnd/120777193,115328
797,gnd/120777193,115389
798,gnd/120777193,116015
799,gnd/120777193,116016
800,gnd/120777193,116017
801,gnd/120777193,116018
802,gnd/120777193,116020
803,gnd/120777193,116042
804,gnd/120777193,116294
805,gnd/120777193,117093
806,gnd/120777193,117103
807,gnd/120777193,117730
808,gnd/120777193,117731
809,gnd/120777193,117732
810,gnd/120777193,117733
811,gnd/120777193,117734
812,gnd/120777193,117735
813,gnd/120777193,117736
814,gnd/120777193,117737
815,gnd/120777193,117738
816,gnd/120777193,118102
817,gnd/120777193,118294
818,gnd/120777193,118295
819,gnd/120777193,118812
820,gnd/120777193,118816
821,gnd/120777193,118818
822,gnd/120777193,119573
823,gnd/120777193,120137
824,gnd/120777193,120337
825,gnd/120777193,120539
826,gnd/120777193,120700
827,gnd/120777193,120701
828,gnd/120777193,120702
829,gnd/120777193,120703
830,gnd/120777193,120704
831,gnd/120777193,120705
832,gnd/120777193,120706
833,gnd/120777193,120707
834,gnd/120777193,120708
835,gnd/120777193,120710
836,gnd/120777193,120711
837,gnd/120777193,120712
838,gnd/120777193,120713
839,gnd/120777193,120714
840,gnd/120777193,120715
841,gnd/120777193,120716
842,gnd/120777193,120732
843,gnd/120777193,120733
844,gnd/120777193,120734
845,gnd/120777193,120735
846,gnd/120777193,121138
847,gnd/120777193,121447
848,gnd/120777193,121448
849,gnd/120777193,121449
850,gnd/120777193,121450
851,gnd/120777193,121452
852,gnd/120777193,121453
853,gnd/120777193,121454
854,gnd/120777193,122369
855,gnd/120777193,122370
856,gnd/120777193,122371
857,gnd/120777193,123076
858,gnd/120777193,123140
859,gnd/120777193,123141
860,gnd/120777193,123142
861,gnd/120777193,123143
862,gnd/120777193,123431
863,gnd/120777193,123557
864,gnd/120777193,123717
865,gnd/120777193,123836
866,gnd/120777193,124100
867,gnd/120777193,124244
868,gnd/120777193,124928
869,gnd/120777193,124944
870,gnd/120777193,127066
871,gnd/120777193,127068
872,gnd/120777193,127069
873,gnd/120777193,127070
874,gnd/120777193,127071
875,gnd/120777193,127279
876,gnd/120777193,127808
877,gnd/120777193,127907
878,gnd/120777193,127908
879,gnd/120777193,127909
880,gnd/120777193,128168
881,gnd/120777193,128169
882,gnd/120777193,128170
883,gnd/120777193,128431
884,gnd/120777193,128826
885,gnd/120777193,128859
886,gnd/120777193,129512
887,gnd/120777193,129513
888,gnd/120777193,129743
889,gnd/120777193,129744
890,gnd/120777193,129745
891,gnd/120777193,129746
892,gnd/120777193,129747
893,gnd/120777193,129748
894,gnd/120777193,129749
895,gnd/120777193,129810
896,gnd/120777193,129996
897,gnd/120777193,130048
898,gnd/120777193,130226
899,gnd/120777193,130268
900,gnd/120777193,130340
901,gnd/120777193,130420
902,gnd/120777193,130798
903,gnd/120777193,130906
904,gnd/120777193,130919
905,gnd/120777193,130938
906,gnd/120777193,131340
907,gnd/120777193,131341
908,gnd/120777193,131342
909,gnd/120777193,131343
910,gnd/120777193,131344
911,gnd/120777193,131345
912,gnd/120777193,131346
913,gnd/120777193,131347
